company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,matched_sic_codes
15083348,TNTTIRES LTD,active,ltd,2023-08-19,"119 Bury Street, Heywood, OL10 3HR, England",OL10 3HR,Heywood,,45200,45200: Maintenance and repair of motor vehicles,45200
SC763342,SALTIRE KIWI MOTORCYCLES LTD.,active,ltd,2023-03-23,"26 Portland Road, Kilmarnock, Ayrshire, KA1 2EB, United Kingdom",KA1 2EB,Kilmarnock,Ayrshire,45200,45200: Maintenance and repair of motor vehicles,45200
12291689,SUMMIT TIRE COMPANY LTD,active,ltd,2019-10-31,"7 Copperfield Road, Coventry,, West Midlands, England,, CV2 4AQ, United Kingdom",CV2 4AQ,"West Midlands, England,",,22110; 45320,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres; 45320: Retail trade of motor vehicle parts and accessories,45320; 22110
16160959,SELFIE TIRE REPAIR TRADING LIMITED,active,ltd,2025-01-03,"115 London Road, Morden, SM4 5HP, England",SM4 5HP,Morden,,45310; 45320,45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories,45320; 45310
16555487,SPIDER TIRES LTD,active,ltd,2025-07-02,"43 Mewburn, Bretton, Peterborough, PE3 8SG, England",PE3 8SG,Peterborough,,45200; 45320; 81210; 81222,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories; 81210; 81222,45320
16484842,TYREON TIRE COMPANY LIMITED,active,ltd,2025-05-30,"7 Copperfield Road, Coventry, West Midlands, England, CV2 4AQ, United Kingdom",CV2 4AQ,"West Midlands, England",,45310; 45320; 45400; 46190,45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories; 45400; 46190,45320; 45310
SC200505,SALTIRE SECURITY PRODUCTS LIMITED,active,ltd,1999-10-04,"G6 Coal Road, Granary Business Centre, Cupar, Fife, KY15 5YQ, Scotland",KY15 5YQ,Cupar,Fife,46900,46900: Non-specialised wholesale trade,46900
13286233,ENTIRELY TRADING LTD,active,ltd,2021-03-23,"111 New Union Street, Union House, Coventry, CV1 2NT, England",CV1 2NT,Coventry,,46310; 46320; 46341; 46900,46310; 46320; 46341; 46900: Non-specialised wholesale trade,46900
16400160,ENCORES TIRE&WHEEL UK LTD,active,ltd,2025-04-22,"17 Woodcock Lane, Northfield, Birmingham, B31 1BA, England",B31 1BA,Birmingham,,45310; 46900,45310: Wholesale trade of motor vehicle parts and accessories; 46900: Non-specialised wholesale trade,46900; 45310
15873364,"GANG XING TIRE TRADING CO., LTD",active,ltd,2024-08-03,"53 Whateleys Drive, Kenilworth, Warwickshire, CV8 2GY",CV8 2GY,Kenilworth,Warwickshire,22110; 46190,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres; 46190,22110
16367926,TIRE TYRES LIMITED,active,ltd,2025-04-06,"16 Bowater Close, Sittingbourne, ME10 2FR, England",ME10 2FR,Sittingbourne,,22110,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,22110
09766074,SETCO SOLID TIRE LTD.,active,ltd,2015-09-07,"Unit 13, Duddeston Mill Trading Estate Duddeston Mill Road, Saltley, Birmingham, B8 1AP, England",B8 1AP,Birmingham,,22110,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,22110
13529830,"JOYALL (WEIHAI) TIRE CO., LTD",active,ltd,2021-07-26,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP, England",N14 5BP,London,,22110; 45310; 45320; 46630,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres; 45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories; 46630,22110; 45310
09725607,MAXAM TIRE SOLUTIONS LIMITED,active,ltd,2015-08-10,"Ts2 Pinewood Business Park Coleshill Road, Solihull, West Midlands, B37 7HG",B37 7HG,West Midlands,,22110,22110: Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,22110
