company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,is_truck_commercial,is_mobile,categories
16262244,TRUCK TYRE FLEET SERVICES LTD,active,ltd,2025-02-19,"1 Thorncliffe View, Leek, ST13 6QB",ST13 6QB,Leek,,22110,22110: SIC code 22110,True,False,truck_commercial; fitting_service; fleet
03158142,TRUCK TYRE LEASING LIMITED,active,ltd,1996-02-13,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, HP14 4TJ",HP14 4TJ,High Wycombe,Buckinghamshire,99999,99999: SIC code 99999,True,False,truck_commercial
15105571,TRUCK TYRES DIRECT LIMITED,active,ltd,2023-08-30,"24 Dalkeith Place, Kettering, NN16 0BS",NN16 0BS,Kettering,,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
15543670,TRUCK TYRES 4 U LTD,active,ltd,2024-03-06,"121 Lark Lane, Liverpool, L17 8UR",L17 8UR,Liverpool,,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
05853394,TRUCK TYRES (LONDON) LIMITED,active,ltd,2006-06-21,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",EN8 9BH,Cheshunt,Hertfordshire,99999,99999: SIC code 99999,True,False,truck_commercial
16707059,TRUCK TYRES NATIONAL LTD,active,ltd,2025-09-10,"Unit 389 275 New North Road, Islington, London, N1 7AA",N1 7AA,London,,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
05733614,TRUCK TYRE SOLUTIONS LTD,active,ltd,2006-03-07,"Station Road, Rowley Regis, W Midlands, B65 0LJ",B65 0LJ,Rowley Regis,W Midlands,45310,45310: Wholesale trade of motor vehicle parts and accessories,True,False,truck_commercial
16049229,TRUCK TYRES ONLINE LTD,active,ltd,2024-10-29,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, OL6 7LQ",OL6 7LQ,Ashton-Under-Lyne,Lancashire,45310; 45320,45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
12781618,TRUCK TYRES 2 U LTD,active,ltd,2020-07-30,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, CW11 4NE",CW11 4NE,Sandbach,Cheshire,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
SC644925,TRUCK TYRES UK LIMITED,active,ltd,2019-10-21,"Blue Square Offices Ltd, Bath Street, Glasgow, G2 4JR",G2 4JR,Glasgow,,45310,45310: Wholesale trade of motor vehicle parts and accessories,True,False,truck_commercial
11032022,TRUCK TYRE SUPPLIES UK LIMITED,active,ltd,2017-10-25,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, WS11 1AR",WS11 1AR,Cannock,Staffordshire,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial; wholesale
13417279,TRUCK TYRE WHOLESALERS LIMITED,active,ltd,2021-05-24,"12 Old Slade Lane, Iver, SL0 9DR",SL0 9DR,Iver,,22110,22110: SIC code 22110,True,False,truck_commercial; wholesale
16141864,ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,active,ltd,2024-12-18,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL",IP3 0DL,Ipswich,Suffolk,45200,45200: Maintenance and repair of motor vehicles,True,False,truck_commercial
16141882,ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,active,ltd,2024-12-18,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL",IP3 0DL,Ipswich,Suffolk,45200,45200: Maintenance and repair of motor vehicles,True,False,truck_commercial
13046940,ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,active,ltd,2020-11-27,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL",IP3 0DL,Ipswich,Suffolk,45200,45200: Maintenance and repair of motor vehicles,True,False,truck_commercial
04183442,ANGLIA TRUCK TYRE MANAGEMENT LIMITED,active,ltd,2001-03-20,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL",IP3 0DL,Ipswich,Suffolk,45200,45200: Maintenance and repair of motor vehicles,True,False,truck_commercial
11261015,A2 TRUCK TYRE LIMITED,active,ltd,2018-03-19,"Thames House, Roman Square, Sittingbourne, Kent, ME10 4BJ",ME10 4BJ,Sittingbourne,Kent,45320,45320: Retail trade of motor vehicle parts and accessories,True,False,truck_commercial
06833810,BARON TRUCK TYRES LIMITED,active,ltd,2009-03-02,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, YO30 4XF",YO30 4XF,York,,99999,99999: SIC code 99999,True,False,truck_commercial
