Company Name,Company Number,Status,Business Type,Company Type,Date Created,Registered Address,SIC Codes,Last Accounts,Source
TRUCK TYRE LEASING LIMITED,03158142,active,Truck Tyre Specialist,ltd,1996-02-13,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, HP14 4TJ, England",99999,2025-03-31,Companies House API
TRUCK TYRES DIRECT LIMITED,15105571,active,Truck Tyre Specialist,ltd,2023-08-30,"24 Dalkeith Place, Kettering, NN16 0BS, England",45320,2024-08-31,Companies House API
TRUCK TYRES 4 U LTD,15543670,active,Truck Tyre Specialist,ltd,2024-03-06,"121 Lark Lane, Liverpool, L17 8UR, England",45320,2025-03-31,Companies House API
TRUCK TYRES (LONDON) LIMITED,05853394,active,Truck Tyre Specialist,ltd,2006-06-21,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",99999,2024-06-30,Companies House API
TRUCK TYRES NATIONAL LTD,16707059,active,Truck Tyre Specialist,ltd,2025-09-10,"Unit 389 275 New North Road, Islington, London, N1 7AA, United Kingdom",45320,,Companies House API
TRUCK TYRE SOLUTIONS LTD,05733614,active,Truck Tyre Specialist,ltd,2006-03-07,"Station Road, Rowley Regis, W Midlands, B65 0LJ, United Kingdom",45310,2025-02-28,Companies House API
TRUCK TYRES ONLINE LTD,16049229,active,Truck Tyre Specialist,ltd,2024-10-29,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, OL6 7LQ, England","45310, 45320",,Companies House API
TRUCK TYRES 2 U LTD,12781618,active,Truck Tyre Specialist,ltd,2020-07-30,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, CW11 4NE, United Kingdom",45320,2025-07-31,Companies House API
TRUCK TYRES UK LIMITED,SC644925,active,Truck Tyre Specialist,ltd,2019-10-21,"Blue Square Offices Ltd, Bath Street, Glasgow, G2 4JR, Scotland",45310,2024-10-31,Companies House API
TRUCK TYRE SUPPLIES UK LIMITED,11032022,active,Truck Tyre Specialist,ltd,2017-10-25,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, WS11 1AR, United Kingdom",45320,2025-02-28,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,16141864,active,Truck Tyre Specialist,ltd,2024-12-18,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL, United Kingdom",45200,,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,16141882,active,Truck Tyre Specialist,ltd,2024-12-18,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL, United Kingdom",45200,,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,13046940,active,Truck Tyre Specialist,ltd,2020-11-27,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL, United Kingdom",45200,2024-06-30,Companies House API
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,04183442,active,Truck Tyre Specialist,ltd,2001-03-20,"37-41 Holywells Road, Ipswich, Suffolk, IP3 0DL, United Kingdom",45200,2024-06-30,Companies House API
A2 TRUCK TYRE LIMITED,11261015,active,Truck Tyre Specialist,ltd,2018-03-19,"Thames House, Roman Square, Sittingbourne, Kent, ME10 4BJ, United Kingdom",45320,2025-03-31,Companies House API
BARON TRUCK TYRES LIMITED,06833810,active,Truck Tyre Specialist,ltd,2009-03-02,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, YO30 4XF, United Kingdom",99999,2025-07-31,Companies House API
BIRMINGHAM TRUCK TYRE LTD,08481309,active,Truck Tyre Specialist,ltd,2013-04-09,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, ME5 8UD, England",45200,2025-03-31,Companies House API
CAR VAN TRUCK TYRES LIMITED,08035616,active,Truck Tyre Specialist,ltd,2012-04-18,"29 Whitegate Drive Whitegate Drive, Blackpool, FY3 9AA, England",45320,2025-04-30,Companies House API
HARRY'S TRUCK TYRES LTD,16009864,active,Truck Tyre Specialist,ltd,2024-10-10,"200 Knolton Way, Slough, Berkshire, SL2 5RS, United Kingdom",45320,,Companies House API
SYLLA TRUCK TYRES LTD,13847848,active,Truck Tyre Specialist,ltd,2022-01-13,"Flat 69 Kelvedon House, Guildford Road, London, SW8 2DW, England",46770,2025-01-31,Companies House API
TA9 TRUCK TYRES LIMITED,16043526,active,Truck Tyre Specialist,ltd,2024-10-28,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, TA1 2PX, United Kingdom",45200,,Companies House API
