name,category,is_truck,is_mobile,company_number,status,phone,email,website,address,postcode,region,verified,source
247 TRUCK TYRES LTD,Truck Mobile Service,Yes,Yes,16948484,active,,,,"599 London Road, Reading, RG6 1AT",RG6 1AT,,Yes,Companies House API
ADVANCE MOBILE TYRES LIMITED,Truck Mobile Service,Yes,Yes,04698588,active,,,,"Acer House, 54a Hartford Road, Davenham Northwich, Cheshire, CW9 8JF",CW9 8JF,Cheshire,Yes,Companies House (mobile tyres)
AIRVAN MOBILE 24/7 TYRES LTD,Truck Mobile Service,Yes,Yes,16329733,active,,,,"7 Preston Road, Slough, SL2 5LP",SL2 5LP,North West,Yes,Companies House (mobile tyres)
DRS MOBILE TRUCK TYRES SERVICE LTD,Truck Mobile Service,Yes,Yes,16139729,active,,,,"62 Walbrook Road, Derby, DE23 8RY",DE23 8RY,,Yes,Companies House API
FLEET MOBILE TYRES LTD,Truck Mobile Service,Yes,Yes,16808697,active,,,,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",WC2H 9JQ,,Yes,Companies House API
A2 TRUCK TYRE LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,11261015,active,,,,"Thames House, Roman Square, Sittingbourne, ME10 4BJ",ME10 4BJ,Kent,Yes,Companies House API
ACE TYRES COMMERCIAL LTD,Truck Tyre (Fixed/Unknown),Yes,No,10512275,active,,,,"304 High Street, Orpington, Kent, United Kingdom, BR6 0NF",,,Yes,Companies House API
AM COMMERCIAL TYRE’S LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,SC846604,active,,,,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",,,Yes,Companies House API
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,04183442,active,,,,"37-41 Holywells Road, Ipswich, IP3 0DL",IP3 0DL,Suffolk,Yes,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,16141864,active,,,,"37-41 Holywells Road, Ipswich, IP3 0DL",IP3 0DL,Suffolk,Yes,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,16141882,active,,,,"37-41 Holywells Road, Ipswich, IP3 0DL",IP3 0DL,Suffolk,Yes,Companies House API
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,13046940,active,,,,"37-41 Holywells Road, Ipswich, IP3 0DL",IP3 0DL,Suffolk,Yes,Companies House API
ASHFORD COMMERCIAL TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,07322542,active,,,,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",,,Yes,Companies House API
BARON TRUCK TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,06833810,active,,,,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, YO30 4XF",YO30 4XF,,Yes,Companies House API
BARTON COMMERCIAL TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,02039874,active,,,,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",,,Yes,Companies House API
BIRMINGHAM TRUCK TYRE LTD,Truck Tyre (Fixed/Unknown),Yes,No,08481309,active,,,,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, ME5 8UD",ME5 8UD,,Yes,Companies House API
BLACK COUNTRY COMMERCIAL & TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,15504034,active,,,,"36 Lichfield Street, Walsall, England, WS1 1TJ",,,Yes,Companies House API
BLAINS TRAILERS & TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,03359332,active,,,,"St Margarets Farm, Great Gaddesden, Hemel Hempstead, Hertfordshire, HP1 3BZ",,,Yes,Companies House API
CAR VAN TRUCK TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,08035616,active,,,,"29 Whitegate Drive Whitegate Drive, Blackpool, FY3 9AA",FY3 9AA,,Yes,Companies House API
CENTRAL TYRE (COMMERCIAL) LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,07760510,active,,,,"Etel House, Avenue One, Letchworth Garden City, Hertfordshire, SG6 2HU",,,Yes,Companies House API
CLASSIC COMMERCIAL AND TYRE LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,15485268,active,,,,"26 Harmer Street, Gravesend, England, DA12 2AX",,,Yes,Companies House API
COMMERCIAL CONTRACT TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,04232039,active,,,,"38 Chelsworth Avenue, Ipswich, Suffolk, United Kingdom, IP4 3AY",,,Yes,Companies House API
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,11334504,active,,,,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",,,Yes,Companies House API
COMMERCIAL TYRE SOLUTIONS LTD,Truck Tyre (Fixed/Unknown),Yes,No,15143167,active,,,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,Yes,Companies House API
COMMERCIAL TYRE SUPPLIES LTD,Truck Tyre (Fixed/Unknown),Yes,No,07754686,active,,,,"6a Cissplatt Lane,, Keelby,, DN41 8HU",,,Yes,Companies House API
COMMERCIAL TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,10615294,active,,,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",,,Yes,Companies House API
