name,website,website_verified,is_truck_tyre,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
Kwik Fit,https://www.kwik-fit.com/,True,True,01342314111,customercare@kwik-fit.com,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Bandvulc,https://www.bandvulc.co.uk/,True,True,01960784314,,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Bush Tyres,https://www.bushtyres.co.uk/,True,True,08001383455,attleborough@bushtyres.co.uk,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Watling Tyres,https://watlingtyres.co.uk/,True,True,01233359050,contact@watlingtyres.co.uk,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Hometyre,https://www.hometyre.co.uk/,True,True,0333 444 5454,,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Point S UK,https://www.point-s.co.uk/,True,True,,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr","24hr, Mobile",,,
Lodge Tyre,https://halfordscfs.co.uk/,True,True,,,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Michelin UK,https://www.michelin.co.uk/,True,True,08000318802,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, Manufacturer, 24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Bridgestone UK,https://www.bridgestone.co.uk/,True,True,02646516752,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, Manufacturer, Fleet, Commercial","Fleet, Commercial",,,
Continental UK,https://www.continental-tyres.co.uk/,True,True,,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, Manufacturer",,,,
Pirelli UK,https://www.pirelli.com/tyres/en-gb/car/homepage,True,True,01839374-833,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, Manufacturer, 24hr, Fleet","24hr, Fleet",,,
Hankook UK,https://www.hankooktire.com/uk/en/home.html,True,True,02843339810,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr, Commercial","24hr, Commercial",,,
Falken UK,https://www.falkentyre.com/en,True,True,,cs.@article.teaser.image,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr",24hr,,,
BFGoodrich UK,https://www.bfgoodrich.co.uk/,True,True,010232136301,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr","24hr, Mobile",,,
Tyrenet,https://tyrenet.net/,True,True,0330 912 1903,service@tyrenet.net,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
Mobile Tyre Fitting UK,https://mobiletyrefittinguk.co.uk/,True,True,0808 281 5669,,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr, Commercial","24hr, Mobile, Commercial",,,
Fleet Tyre Group,https://www.fleet-tyres.co.uk/,True,True,01252 617788,fleetenquiries@roadwheel.co.uk,Large,100-1000+,£20M - £500M+,20000000,500000000,"National, 24hr, Fleet","24hr, Mobile, Fleet",,,
Venson Automotive,https://www.venson.com/,True,True,01960784314,,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Fleet, Commercial",,,
247 Mobile Truck Tyres,https://www.247mobiletrucktyres.co.uk/,True,True,0330 043 3988,Info@247mobiletrucktyres.co.uk,Large,100-1000+,£20M - £500M+,20000000,500000000,"24hr, Fleet, Commercial","24hr, Mobile, Fleet, Commercial",,,
National Tyres,https://www.national.co.uk/,True,False,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,Mobile,,,
Halfords,https://www.halfords.com/,True,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet","24hr, Mobile, Fleet",,,
Protyre,https://www.protyre.co.uk/,True,True,0333 060 2406,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Commercial","24hr, Mobile, Commercial",,,
Tructyre ATS,https://www.tructyre.co.uk/,True,True,012455062012,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"Fleet, Commercial","Fleet, Commercial",,,
Merityre,https://www.merityre.co.uk/,True,True,0150110912,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet","24hr, Fleet",,,
McConechy Tyres,https://www.mcconechys.co.uk/,True,True,0330-135-9779,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Commercial","24hr, Commercial",,,
Bond International,https://www.bondint.com/,True,False,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,,,
Micheldever Tyres,https://www.micheldever.co.uk/,True,True,01962388258,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet","24hr, Mobile, Fleet",,,
Vacu-Lug,https://www.vaculug.com/,True,True,01476593095,info@vaculug.com,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet","24hr, Fleet",,,
Toyo UK,https://www.toyo.co.uk/,True,False,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,,,
Dunlop UK,https://maintenance.dunlop.eu/,True,False,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,,,
Tyre Assist 365,https://www.tyreassist365.com/,True,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Commercial","24hr, Mobile, Commercial",,,
Fleetline Tyres,https://www.fleetlinetyres.co.uk/,True,True,0121 5652774,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet","24hr, Fleet",,,
Fleet Operations,https://www.fleetoperations.co.uk/,True,False,0344 567 8000,advice@fleetoperations.co.uk,Medium-Large,50-200,£5M - £50M,5000000,50000000,"Fleet, Commercial","Fleet, Commercial",,,
Zenith Vehicle Contracts,https://www.zenith.co.uk/,True,False,0149999999,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"24hr, Fleet, Commercial","24hr, Fleet, Commercial",,,
Lex Autolease,https://www.lexautolease.co.uk/,True,False,010324655849,,Medium-Large,50-200,£5M - £50M,5000000,50000000,"Fleet, Commercial","Fleet, Commercial",,,
TRUCK TYRES NATIONAL LTD,,False,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,Companies House
TRUCK TYRES UK LIMITED,,False,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,Companies House
FLEET TYRE NETWORK LIMITED,,False,True,,,Medium-Large,50-200,£5M - £50M,5000000,50000000,National,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,Companies House
Big Tyres,https://www.bigtyres.co.uk/,True,True,0115 994 0900,,Medium,15-50,£1M - £10M,1000000,10000000,24hr,"24hr, Mobile",,,
Blackcircles,https://www.blackcircles.com/,True,True,,,Medium,15-50,£1M - £10M,1000000,10000000,Fleet,"Mobile, Fleet",,,
Oponeo,https://www.oponeo.co.uk/,True,True,0800 066 3422,,Medium,15-50,£1M - £10M,1000000,10000000,24hr,"24hr, Mobile",,,
Arval,https://www.arval.co.uk/,True,False,,,Medium,15-50,£1M - £10M,1000000,10000000,"24hr, Fleet","24hr, Fleet",,,
Truck Tyres Direct,https://www.trucktyresdirect.co.uk/,True,True,01933 623955,,Medium,15-50,£1M - £10M,1000000,10000000,24hr,24hr,,,
TRUCK TYRE WHOLESALERS LIMITED,,False,True,,,Medium,15-50,£1M - £10M,1000000,10000000,Wholesale,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,Companies House
ATS Euromaster,https://www.atseuromaster.co.uk/,True,False,0370 066 3621,customer.relationship@euromaster.com,Small-Medium,5-20,£300K - £2M,300000,2000000,24hr,"24hr, Mobile",,,
Stapleton Tyres,https://www.stapleton-tyres.co.uk/,True,False,,,Small-Medium,5-20,£300K - £2M,300000,2000000,Local,,,,
Colway Tyres,https://www.colway.co.uk/,True,False,,,Small-Medium,5-20,£300K - £2M,300000,2000000,Local,,,,
Malvern Tyres,https://www.thetyregroup.co.uk/,True,False,02766595118,,Small-Medium,5-20,£300K - £2M,300000,2000000,Local,Mobile,,,
