name,website,website_verified,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
TRUCK TYRES NATIONAL LTD,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,Companies House
TRUCK TYRES UK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Wholesale/Distribution,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Network,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,Companies House
TRUCK TYRE FLEET SERVICES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"1 Thorncliffe View, Leek, England, ST13 6QB",16262244,Companies House
TRUCK TYRE LEASING LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ",03158142,Companies House
TRUCK TYRES DIRECT LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"24 Dalkeith Place, Kettering, England, NN16 0BS",15105571,Companies House
TRUCK TYRES 4 U LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"121 Lark Lane, Liverpool, England, L17 8UR",15543670,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",05853394,Companies House
TRUCK TYRE SOLUTIONS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",05733614,Companies House
TRUCK TYRES ONLINE LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",16049229,Companies House
TRUCK TYRES 2 U LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",12781618,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141864,Companies House
