name,website,website_verified,is_tyre_related,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,date_created,source
TRUCK TYRES NATIONAL LTD,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,2025-09-10,Companies House
TRUCK TYRES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,2019-10-21,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,2017-10-25,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Wholesale,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,2021-05-24,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Network,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,2011-12-21,Companies House
TRUCK TYRE FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"1 Thorncliffe View, Leek, England, ST13 6QB",16262244,2025-02-19,Companies House
TRUCK TYRE LEASING LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ",03158142,1996-02-13,Companies House
TRUCK TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"24 Dalkeith Place, Kettering, England, NN16 0BS",15105571,2023-08-30,Companies House
TRUCK TYRES 4 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"121 Lark Lane, Liverpool, England, L17 8UR",15543670,2024-03-06,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",05853394,2006-06-21,Companies House
TRUCK TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",05733614,2006-03-07,Companies House
TRUCK TYRES ONLINE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",16049229,2024-10-29,Companies House
TRUCK TYRES 2 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",12781618,2020-07-30,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141864,2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141882,2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",13046940,2020-11-27,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",04183442,2001-03-20,Companies House
A2 TRUCK TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",11261015,2018-03-19,Companies House
