name,website,website_verified,is_truck_tyre,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
Etyres - Ayr Autoplex Cars & Commercials (Bridgend Motor Group),,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,,,Thomson Local
TRUCK TYRES NATIONAL LTD,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,Companies House
TRUCK TYRES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Wholesale,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,Companies House
Commercial Tyre Service,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Wirral Tyres & Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Se Tyres Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Tyres Northampton Commercial LLP,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Commercial Contract Tyres,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Greenwood Commercial Tyres Recovery & Repairs,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Commercial Tyre Services,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Etyres - Lowestoft Car & Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
TRUCK TYRE FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"1 Thorncliffe View, Leek, England, ST13 6QB",16262244,Companies House
TRUCK TYRE LEASING LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ",03158142,Companies House
TRUCK TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"24 Dalkeith Place, Kettering, England, NN16 0BS",15105571,Companies House
TRUCK TYRES 4 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"121 Lark Lane, Liverpool, England, L17 8UR",15543670,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",05853394,Companies House
TRUCK TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",05733614,Companies House
TRUCK TYRES ONLINE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",16049229,Companies House
TRUCK TYRES 2 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",12781618,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141864,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141882,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",13046940,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",04183442,Companies House
A2 TRUCK TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",11261015,Companies House
BARON TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",06833810,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",08481309,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",08035616,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"62 Walbrook Road, Derby, England, DE23 8RY",16139729,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",16009864,Companies House
SYLLA TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",13847848,Companies House
TA9 TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",16043526,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",01379569,Companies House
247 TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"599 London Road, Reading, United Kingdom, RG6 1AT",16948484,Companies House
RMG HGV & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Lowfield Drive, Askern, Doncaster, United Kingdom, DN6 0FS",16703486,Companies House
COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",10615294,Companies House
