name,website,website_verified,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,type,services,address,company_number,source
Kwik Fit,https://www.kwik-fit.com/,True,01342314111,customercare@kwik-fit.com,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",National Network,"24hr, Mobile, Fleet, Emergency",,,Verified Website
Halfords Autocentres,https://www.halfords.com/,True,,,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",National Network,"24hr, Mobile, Fleet, Emergency",,,Verified Website
Bandvulc,https://www.bandvulc.co.uk/,True,01960784314,,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",National Retreader,"24hr, Mobile, Fleet, Emergency",,,Verified Website
Bush Tyres,https://www.bushtyres.co.uk/,True,08001383455,attleborough@bushtyres.co.uk,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",Regional Network,"24hr, Mobile, Fleet",,,Verified Website
Watling Tyres,https://watlingtyres.co.uk/,True,01233359050,contact@watlingtyres.co.uk,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",Regional Network,"24hr, Mobile, Fleet, Emergency",,,Verified Website
Hometyre,https://www.hometyre.co.uk/,True,0333 444 5454,,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",National Mobile,"24hr, Mobile, Fleet",,,Verified Website
Micheldever Tyres,https://www.micheldever.co.uk/,True,01962388258,,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",Wholesaler,"24hr, Mobile, Fleet",,,Verified Website
Michelin UK,https://www.michelin.co.uk/,True,08000318802,,Large,50-200+,£5M - £50M+,5000000,50000000,"National, 24hr, Fleet",Manufacturer,"24hr, Mobile, Fleet, Emergency",,,Verified Website
Bridgestone UK,https://www.bridgestone.co.uk/,True,02646516752,,Large,50-200+,£5M - £50M+,5000000,50000000,"National, Fleet",Manufacturer,Fleet,,,Verified Website
Pirelli UK,https://www.pirelli.com/tyres/en-gb/car/homepage,True,01839374-833,,Large,50-200+,£5M - £50M+,5000000,50000000,"National, 24hr, Fleet",Manufacturer,"24hr, Fleet",,,Verified Website
Hankook UK,https://www.hankooktire.com/uk/en/home.html,True,02843339810,,Large,50-200+,£5M - £50M+,5000000,50000000,"National, 24hr",Manufacturer,24hr,,,Verified Website
Falken UK,https://www.falkentyre.com/en,True,,cs.@article.teaser.image,Large,50-200+,£5M - £50M+,5000000,50000000,"National, 24hr",Manufacturer,24hr,,,Verified Website
Tyrenet,https://tyrenet.net/,True,0330 912 1903,service@tyrenet.net,Large,50-200+,£5M - £50M+,5000000,50000000,"24hr, Fleet",Mobile Network,"24hr, Mobile, Fleet, Emergency",,,Verified Website
ATS Euromaster,https://www.atseuromaster.co.uk/,True,0370 066 3621,customer.relationship@euromaster.com,Medium,15-50,£1M - £5M,1000000,5000000,24hr,National Network,"24hr, Mobile",,,Verified Website
National Tyres,https://www.national.co.uk/,True,,,Medium,15-50,£1M - £5M,1000000,5000000,National,National Network,Mobile,,,Verified Website
Tructyre,https://www.tructyre.co.uk/,True,012455062012,,Medium,15-50,£1M - £5M,1000000,5000000,Fleet,National Truck,"Fleet, Emergency",,,Verified Website
Protyre,https://www.protyre.co.uk/,True,0333 060 2406,,Medium,15-50,£1M - £5M,1000000,5000000,24hr,National Network,"24hr, Mobile",,,Verified Website
Merityre,https://www.merityre.co.uk/,True,0150110912,,Medium,15-50,£1M - £5M,1000000,5000000,"24hr, Fleet",Regional Network,"24hr, Fleet",,,Verified Website
Point S,https://www.point-s.co.uk/,True,,,Medium,15-50,£1M - £5M,1000000,5000000,24hr,Network,"24hr, Mobile",,,Verified Website
Bond International,https://www.bondint.com/,True,,,Medium,15-50,£1M - £5M,1000000,5000000,National,Wholesaler,,,,Verified Website
Vacu-Lug,https://www.vaculug.com/,True,01476593095,info@vaculug.com,Medium,15-50,£1M - £5M,1000000,5000000,"24hr, Fleet",Retreader,"24hr, Fleet",,,Verified Website
Continental UK,https://www.continental-tyres.co.uk/,True,,,Medium,15-50,£1M - £5M,1000000,5000000,National,Manufacturer,,,,Verified Website
