name,website,website_status,phone,email,company_number,address,services,type,date_created,source
2U Tyres,https://www.2utyres.co.uk/,Working,01730 233399,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Regional,,Known Network
A2 Truck Tyres,https://www.a2tyres.co.uk/,Working,01795 475200,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Regional,,Known Network
Ashford Commercial Tyres,https://www.ashfordkenttyres.co.uk/,Working,000099999999,info@ashfordkenttyres.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
Bandvulc,https://www.bandvulc.co.uk/,Working,03921568627,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Retreader/Network,,Known Network
Big Tyres,https://www.bigtyres.co.uk/,Working,0115 994 0900,sales@bigtyres.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Specialist,,Known Network
Bond International,https://www.bondinternational.com/,Working,021 212 447,info@bondinternational.com,,,24 Hour Service,Wholesaler,,Known Network
Bridgestone Commercial UK,https://www.bridgestone.co.uk/,Working,026465167521,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Manufacturer,,Known Network
Bush Tyres,https://www.bushtyres.co.uk/,Working,08001383455,attleborough@bushtyres.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional Network,,Known Network
Colway Tyres,https://www.colway.co.uk/,Working,,,,,,Retreader,,Known Network
Commercial Tyre Solutions,https://www.commercial-tyre-solutions.co.uk/,Working,00249692-3564,info@commercial-tyre-solutions.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
Continental Truck Tyres UK,https://www.continental-tyres.co.uk/,Working,05577696917,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Manufacturer,,Known Network
CTS Bristol,https://www.ctsbristolltd.com/,Working,0800 156 0059,info@ctsbristolltd.com,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
DRS Mobile Truck Tyres,https://www.drsmobiletyreservices.co.uk/,Working,,,,,,Mobile,,Known Network
Dunlop Commercial,https://www.dunlop.eu/,Working,,,,,,Manufacturer,,Known Network
Essex Tyre Fitters,https://www.essextyrefitters.co.uk/,Working,00000000000,info@mobiletyresessex.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Regional,,Known Network
Euro Tyre Wholesalers,https://www.eurotyres.co.uk/,Working,,,,,"24 Hour Service, Mobile Fitting",Wholesaler,,Known Network
Fleet Tyres Direct,https://www.fleet-tyres.co.uk/,Working,01252 617788,fleetenquiries@roadwheel.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Fleet,,Known Network
Hankook Truck UK,https://www.hankooktire.com/uk/,Working,028433398104,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Manufacturer,,Known Network
Kingsway Tyres,https://www.kingswaytyres.com/,Working,,customercare@kingswaytyres.com,,,Mobile Fitting,Regional Network,,Known Network
Manchester Truck Tyres,https://www.manchestertrucktyres.co.uk/,Working,0161 205 1362,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
Marangoni UK,https://www.marangoni.com/,Working,00125560227,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Retreader,,Known Network
Michelin Truck Tyres UK,https://business.michelin.co.uk/,Working,05523534366,claire.gourcy@michelin.com,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Manufacturer,,Known Network
Mid Beds Tyres,https://www.midbedstyres.co.uk/,Working,07860 409600,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Regional,,Known Network
Mobile Tyre Fitting UK,https://www.mobiletyrefittinguk.co.uk/,Working,0808 281 5669,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Mobile Service,,Known Network
Northern Commercials,https://www.northerncommercials.co.uk/,Working,08003523077,office@northerncommercials.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
Pirelli Commercial UK,https://www.pirelli.com/tyres/en-gb/,Working,0399-443179,info@pirelli.com,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Manufacturer,,Known Network
Point S UK,https://www.point-s.co.uk/,Working,,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Network,,Known Network
Roadstar Commercial Tyres,https://www.roadstartyres.com/,Working,03921568627,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
South West Tyre Services,https://www.southwesttyreservices.co.uk/,Working,,,,,"Truck Tyres, 24 Hour Service",Regional,,Known Network
